Processador;Octa-core Qualcomm Snapdragon (4 x 1.5 GHz + 4 x 1.2 GHz )
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 16MP e Frontal 5MP
Cor;Preto
Grava vídeo;Sim
Memória interna;32GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Câmera de 16 MP com Flash LED duplo, foco laser e PDAF - Carregamento ultrarápido TurboPower™ - Sensor de impressão digital para desbloqueio rápido - Processador octa-core com 2GB de RAM - Experiência Android™ puro - Velocidade 4G - Resistente a respingos d'água*. - Bateria que dura o dia todo***
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;Bluetooth 4.1, Wi-Fi 802.11 a/b/g/n
Resolução do visor/display (pixels);1920x1080 Full HD
Tamanho do visor (cm);13,9
Conteúdo da Embalagem;- Smartphone Moto G4 Plus XT1640 - Kit de manuais - Fone de ouvido estereo - Cabo para sincronismo - Carregador de parede turbopower™ - 2 Capas traseira (preta e lava)
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.A capacidade de memória interna ROM ( Read-Only Memory ) disponível ao usuário é menor que a capacidade especificada (32GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. * Resistente à água (P2i). A avançada tecnologia de nanorrevestimento cria uma barreira que repele a água, ajudando a proteger contra exposições moderadas a água, tais como derramamentos, respingos ou chuva leve. Não é projetado para ser submerso na água, nem exposto a água ou outros líquidos aplicados sob pressão. Não é à prova da água. ** A funcionalidade Dual Chip da Motorola sugere ou seleciona automaticamente um chip (SIM) para ligação de voz com base naoperadora de seu contato ou histórico de chamadas. O chip selecionado para conexão de dados, ou primário, é automaticamente definido como 3G/4G, de forma a usar a tecnologia mais rápida de conexão de dados, independente do slot em que o SIM card estejainserido. O chip sem conexão de dados, ou secundário, é automaticamente definido para 2G/3G para chamadas de voz. A coberturae qualidade do sinal dependem de sua área e da operadora provedora dos serviços. ***Todas as informações referentes à duração da bateria são aproximadas e se baseiam em um perfil médio padrão de uso misto. O perfil de uso misto se baseia em dispositivos Motorola, com um cartão SIM, nas principais redes 4G LTE com excelente cobertura e inclui tempos de uso e espera. Configurações padrão de fábrica são aplicadas ao perfil misto para estimativa do desempenho debateria. O desempenho real pode variar dependendo de muitos fatores, incluindo intensidade do sinal, configuração da rede, idadeda bateria, temperatura de operação, recursos selecionados, configurações do dispositivo, serviços de voz, dados e outros padrões de uso de aplicativos. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;15,29 Centimetros
Largura;7,65 Centimetros
Profundidade;9,80 Milimetros
Peso;157,00 Gramas
Telefone:;4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades
Nome Produto: ;Smartphone LG K10 TV Branco com 16GB, Dual Chip, Tela de 5.3" HD, 4G, Android 6.0, Câmera 13MP e Processador Octa Core de 1.14 GHz
Preco: ;749,00
RAM;1GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 32GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Visualizador de arquivos;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Mediatek MT6753 Octacore de 1.14 Ghz
Sintonizador de TV;Digital
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 8MP
Cor;Branco
Grava vídeo;Sim
Memória interna;16GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Tela HD de 5,3” com Tecnologia In-cell - Desempenho Octa-Core - Câmera Principal de 13MP com flash LED - Câmera frontal de 8MP para Selfie com Quick Selfie 2.0 e Virtual Flash* - Bateria Removível de 2.300 mAh - A melhor experiência Dual Chip - Velocidade 4G *Virtual Flash é uma tecnologia que depende apenas que o usuário aperte o botão “Flash” com a câmera frontal ativada, para a tela exibir um quadro branco de alto brilho, simulando um flash e iluminando o rosto a ser fotografado.
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Dual Chip;sim
Conectividade;USB, Bluetooth 4.0, Wi-Fi 802.11 b/g/n
Resolução do visor/display (pixels);720x1280 (HD)
Tamanho do visor (cm);13,4
